127.0.0.1 - - [05/Apr/2026 06:54:33] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 06:54:34] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 06:54:34] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 06:54:35] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 06:54:36] "GET /event-details.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 06:54:38] "GET /michango.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:13] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:13] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:13] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:13] "GET /js/i18n.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:13] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:56] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:56] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:56] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:56] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:10:56] "GET /js/i18n.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:12:00] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:12:00] "GET /js/i18n.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:12:00] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:12:00] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:12:00] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:12:04] "GET /michango.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:16:35] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:16:35] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:16:35] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:16:35] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:16:35] "GET /js/i18n.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Apr/2026 07:16:40] "GET /michango.html HTTP/1.1" 200 -
